"","GDP","Capital Stock","Pre-Tax Wages","Hours Worked Converted to Full-Time Equivalent Jobs"
"Total Imposed US Tariffs","'-0.8%","'-0.7%","0.0%","'-706,000"
"IEEPA Fentanyl/""Reciprocal"" China","'-0.3%","'-0.3%","0.0%","'-262,000"
"Reciprocal""  Mexico","Less than -0.05%","Less than -0.05%","0.0%","'-36,000"
"Reciprocal""  Canada","Less than -0.05%","Less than -0.05%","0.0%","'-24,000"
"Reciprocal""  EU","'-0.1%","'-0.1%","0.0%","'-68,000"
"Reciprocal""  ROW","'-0.2%","'-0.2%","0.0%","'-191,000"
"Sec 232 Steel Aluminum","Less than -0.05%","Less than -0.05%","0.0%","'-29,000"
"Sec 232 Auto","'-0.1%","'-0.1%","0.0%","'-96,000"
"","","","",""
"Imposed and Threatened Retaliation as of April 4","'-0.1%","'-0.1%","0.0%","'-91,000"

